Time-Domain Reconstruction of Signal
i,Time,Signal
793,0.0793,7.0913
794,0.0794,8.51026
795,0.0795,9.28777
796,0.0796,9.36436
797,0.0797,8.73344
798,0.0798,7.44184
799,0.0799,5.58635
800,0.08,3.30648
801,0.0801,0.77399
802,0.0802,-1.82007
803,0.0803,-4.27972
804,0.0804,-6.41889
805,0.0805,-8.07547
806,0.0806,-9.12357
807,0.0807,-9.48315
808,0.0808,-9.12607
809,0.0809,-8.07834
810,0.081,-6.41819
811,0.0811,-4.27031
812,0.0812,-1.79644
813,0.0813,0.816806
814,0.0814,3.37195
815,0.0815,5.67562
816,0.0816,7.55316
817,0.0817,8.86185
818,0.0818,9.50181
819,0.0819,9.42356
820,0.082,8.6319
821,0.0821,7.18561
822,0.0822,5.19312
823,0.0823,2.80437
824,0.0824,0.199571
825,0.0825,-2.42443
826,0.0826,-4.86898
827,0.0827,-6.94866
828,0.0828,-8.50536
829,0.0829,-9.42031
830,0.083,-9.6231
831,0.0831,-9.09716
832,0.0832,-7.88108
833,0.0833,-6.06579
834,0.0834,-3.78781
835,0.0835,-1.21893
836,0.0836,1.44665
837,0.0837,4.00709
838,0.0838,6.26813
839,0.0839,8.05782
840,0.084,9.23963
841,0.0841,9.72288
842,0.0842,9.46965
843,0.0843,8.4978
844,0.0844,6.87973
845,0.0845,4.73698
846,0.0846,2.23112
847,0.0847,-0.448422
848,0.0848,-3.09868
849,0.0849,-5.5185
850,0.085,-7.52386
851,0.0851,-8.96179
852,0.0852,-9.7221
853,0.0853,-9.74582
854,0.0854,-9.02977
855,0.0855,-7.62691
856,0.0856,-5.64247
857,0.0857,-3.22602
858,0.0858,-0.560238
859,0.0859,2.1529
860,0.086,4.70742
861,0.0861,6.90901
862,0.0862,8.58975
863,0.0863,9.62098
864,0.0864,9.92313
865,0.0865,9.47185
866,0.0866,8.30001
867,0.0867,6.49531
868,0.0868,4.1937
869,0.0869,1.56919
870,0.087,-1.17933
871,0.0871,-3.84316
872,0.0872,-6.21962
873,0.0873,-8.12747
874,0.0874,-9.42076
875,0.0875,-10
876,0.0876,-9.81979
877,0.0877,-8.89242
878,0.0878,-7.28704
879,0.0879,-5.1245
880,0.088,-2.56829
881,0.0881,0.187832
882,0.0882,2.93454
883,0.0883,5.46279
884,0.0884,7.5798
885,0.0885,9.12368
886,0.0886,9.97589
887,0.0887,10.0703
888,0.0888,9.39835
889,0.0889,8.00981
890,0.089,6.00911
891,0.0891,3.54749
892,0.0892,0.811559
893,0.0893,-1.99081
894,0.0894,-4.64632
895,0.0895,-6.95246
896,0.0896,-8.73296
897,0.0897,-9.85128
898,0.0898,-10.2211
899,0.0899,-9.81289
900,0.09,-8.65648
901,0.0901,-6.83869
902,0.0902,-4.49691
903,0.0903,-1.80871
904,0.0904,1.02163
905,0.0905,3.77861
906,0.0906,6.25199
907,0.0907,8.25276
908,0.0908,9.62764
909,0.0909,10.2708
910,0.091,10.132
911,0.0911,9.22065
912,0.0912,7.60494
913,0.0913,5.40698
914,0.0914,2.79349
915,0.0915,-0.0368757
916,0.0916,-2.86859
917,0.0917,-5.48566
918,0.0918,-7.68817
919,0.0919,-9.30748
920,0.092,-10.2192
921,0.0921,-10.3527
922,0.0922,-9.69676
923,0.0923,-8.30019
924,0.0924,-6.26854
925,0.0925,-3.75591
926,0.0926,-0.953375
927,0.0927,1.92561
928,0.0928,4.66143
929,0.0929,7.0451
930,0.093,8.89423
931,0.0931,10.067
932,0.0932,10.4729
933,0.0933,10.0801
934,0.0934,8.91749
935,0.0935,7.07286
936,0.0936,4.68618
937,0.0937,1.939
938,0.0938,-0.959369
939,0.0939,-3.78781
940,0.094,-6.33029
941,0.0941,-8.39232
942,0.0942,-9.81589
943,0.0943,-10.4916
944,0.0944,-10.367
945,0.0945,-9.45067
946,0.0946,-7.81182
947,0.0947,-5.57483
948,0.0948,-2.90991
949,0.0949,-0.0201864
950,0.095,2.87386
951,0.0951,5.55117
952,0.0952,7.80701
953,0.0953,9.46868
954,0.0954,10.4087
955,0.0955,10.5545
956,0.0956,9.89437
957,0.0957,8.47795
958,0.0958,6.4128
959,0.0959,3.85617
960,0.096,1.00298
961,0.0961,-1.929
962,0.0962,-4.71584
963,0.0963,-7.14446
964,0.0964,-9.02905
965,0.0965,-10.2252
966,0.0966,-10.641
967,0.0967,-10.2442
968,0.0968,-9.06448
969,0.0969,-7.19155
970,0.097,-4.76807
971,0.0971,-1.97891
972,0.0972,0.963015
973,0.0973,3.83296
974,0.0974,6.41157
975,0.0975,8.50162
976,0.0976,9.94313
977,0.0977,10.6256
978,0.0978,10.4966
979,0.0979,9.56545
980,0.098,7.9031
981,0.0981,5.63625
982,0.0982,2.93791
983,0.0983,0.0141366
984,0.0984,-2.91169
985,0.0985,-5.61596
986,0.0986,-7.89191
987,0.0987,-9.56549
988,0.0988,-10.5086
989,0.0989,-10.649
990,0.099,-9.97577
991,0.0991,-8.54017
992,0.0992,-6.45178
993,0.0993,-3.8701
994,0.0994,-0.992358
995,0.0995,1.96155
996,0.0996,4.76587
997,0.0997,7.20627
998,0.0998,9.09621
999,0.0999,10.2912
1000,0.1,10.7
1001,0.1001,10.2912
1002,0.1002,9.09621
1003,0.1003,7.20627
1004,0.1004,4.76587
1005,0.1005,1.96155
1006,0.1006,-0.992358
1007,0.1007,-3.8701
1008,0.1008,-6.45178
1009,0.1009,-8.54017
1010,0.101,-9.97577
1011,0.1011,-10.649
1012,0.1012,-10.5086
1013,0.1013,-9.56549
1014,0.1014,-7.89191
1015,0.1015,-5.61596
1016,0.1016,-2.91169
1017,0.1017,0.0141366
1018,0.1018,2.93791
1019,0.1019,5.63625
1020,0.102,7.9031
1021,0.1021,9.56545
1022,0.1022,10.4966
1023,0.1023,10.6256
